Pair	Ecotype	Population.ID	VH	WW	MSA	MSD	SBA	AREA	ELONG	DISS	CIRC
D01-H01	Dune	D01	0.906195811	0.578643359	-1.069819936	0.319942072	0.869555488	2.664302781	0.583225337	2.210439582	-1.277463239
D01-H01	Dune	D01	0.766809802	0.997705266	-1.069819936	0.463355923	0.444378252	2.042753638	0.50867533	1.144306642	-0.339293426
D01-H01	Dune	D01	0.727372623	0.192464727	-1.069819936	0.565238278	0.326025387	1.429187495	-0.328725014	-0.034143624	-0.060606979
D01-H01	Dune	D01	0.323760029	-0.451248394	-1.069819936	0.026721549	0.444378252	2.077702871	-0.026770679	0.078600815	0.213453962
D01-H01	Dune	D01	1.627814216	-0.095507239	-1.069819936	-0.553688644	1.074092192	1.397644967	-0.103168493	1.036001736	-0.734450366
D02-H04	Dune	D02	0.518405644	-1.29841741	1.458306533	0.115282278	1.001071767	0.261847838	-0.792271517	-0.564947438	-0.706831845
D02-H04	Dune	D02	0.906195811	0.092634674	1.458306533	0.944271698	0.869555488	1.540241985	1.06494027	0.211694416	-0.557498922
D02-H04	Dune	D02	2.078603371	1.771340506	1.234133227	-0.268780213	0.760547762	1.789098232	-1.36434597	-0.730931216	-0.701344107
D02-H04	Dune	D02	1.104596835	0.678862834	0.75619129	0.721024813	0.817727683	0.954402464	-0.998100569	-0.630558687	-1.072630999
D02-H04	Dune	D02	1.031507119	1.412033762	0.854769809	1.885074743	0.541848705	1.059340502	-0.524344777	-0.56969605	-0.030985665
D02-H04	Dune	D02	1.662267892	1.455885705	0.274088581	1.046213033	0.760547762	1.560669864	0.032853899	-0.460966054	0.303511192
D02-H04	Dune	D02	2.182177237	1.474341156	0.75619129	1.212453923	0.960604622	2.560934568	0.693427605	0.256297806	0.836739333
D02-H04	Dune	D02	1.074663656	1.504665214	-1.069819936	1.240767888	1.001071767	0.996376794	-0.48330372	-0.617517676	0.26637574
D02-H04	Dune	D02	0.980276486	1.758429634	0.915858695	0.952278831	0.869555488	1.549845436	-0.70521143	-0.453417503	0.014873225
D02-H04	Dune	D02	1.774120392	1.252545244	-1.069819936	0.408095989	0.696781674	2.212096826	0.449127492	0.103493004	0.791540167
D02-H04	Dune	D02	1.596365276	1.13732439	1.01146409	1.158388871	0.916947912	0.833083399	-0.58434788	-0.606991541	0.023122724
D02-H04	Dune	D02	-0.094194611	-0.963055173	1.31921342	-0.439815315	0.817727683	1.041577624	-0.696778209	-0.558784865	-0.372774847
D02-H04	Dune	D02	0.766809802	-0.110872943	1.075955086	0.875039665	1.001071767	-0.401539572	-1.2764589	-0.76445108	-0.120909646
D02-H04	Dune	D02	0.661547062	0.542134058	-1.069819936	0.616825362	1.038783841	1.178248198	-0.310301417	0.199830178	-0.883132814
D02-H04	Dune	D02	0.727372623	-0.508681633	1.31921342	0.448418652	0.960604622	1.152245753	-0.473405917	-0.502487929	0.047711196
D02-H04	Dune	D02	0.55576686	0.836836434	0.854769809	1.44893387	0.760547762	0.85994446	0.502475227	-0.149583475	1.105664324
D02-H04	Dune	D02	0.842115695	0.286796689	-1.069819936	0.676310299	0.817727683	0.924490553	-0.893384107	-0.493074825	-0.631064885
D02-H04	Dune	D02	1.32613158	0.092634674	-1.069819936	0.764871028	1.001071767	2.234789374	-0.135802746	-0.388670678	0.457265506
D02-H04	Dune	D02	1.873546786	1.249059455	-1.069819936	1.942506973	0.760547762	2.63565213	0.307256006	0.011284523	0.839724119
D02-H04	Dune	D02	1.739127464	1.42782433	0.636492963	2.082428402	0.760547762	0.454803829	-1.47659369	-0.780855042	-1.196196607
D02-H04	Dune	D02	0.678333355	0.669100617	-1.069819936	1.026963052	0.62471226	1.257838768	0.335023513	0.248466756	-0.475959725
D02-H04	Dune	D02	0.735360862	-0.715349284	1.31921342	-0.155019399	0.869555488	0.388919457	-0.598590192	-0.628005858	0.198128094
D02-H04	Dune	D02	1.475184091	0.499433667	-1.069819936	1.748844706	0.817727683	1.800352846	-0.976627351	-0.361423646	-0.196118804
D02-H04	Dune	D02	1.627814216	-0.255742115	1.357354214	-0.425057033	0.960604622	2.678725681	0.778513328	0.109226326	-0.334546302
D02-H04	Dune	D02	1.889370781	2.093964659	-1.069819936	1.327027771	0.960604622	2.528660967	-0.388920006	-0.024715464	0.139815631
D02-H04	Dune	D02	0.609782622	0.897875213	0.274088581	1.306623936	0.541848705	1.520995956	0.127614901	-0.228765736	-0.064867014
D02-H04	Dune	D02	1.791253999	0.745683847	1.234133227	1.310037404	1.074092192	2.120356221	-0.293639989	0.240497309	0.035446801
D02-H04	Dune	D02	1.965601249	1.854195814	0.915858695	0.952278831	0.817727683	1.078479343	0.40670868	-0.099219918	-0.706831845
D02-H04	Dune	D02	1.854288	0.051014866	1.458306533	-0.296401464	1.074092192	1.995695621	-0.848180419	-0.383584254	-0.236858439
D02-H04	Dune	D02	1.331070619	0.805481699	0.854769809	0.93623607	0.869555488	1.52991242	-0.398461096	-0.224955383	-0.306248882
D03-H02	Dune	D03	0.993283587	0.919158276	0.75619129	-0.129064985	0.326025387	1.477744432	-0.483140805	-0.338160388	-0.348814468
D03-H02	Dune	D03	1.321172824	1.563749155	0.274088581	1.091754257	0.696781674	2.014067025	0.635896944	0.415704977	0.273846513
D03-H02	Dune	D03	-0.19103585	0.832392166	-1.069819936	-0.040504257	0.541848705	1.770592272	0.954629956	0.590689025	0.866430089
D03-H02	Dune	D03	1.483931781	1.31410628	-1.069819936	1.237247998	0.916947912	1.34704297	-0.642926285	-0.388705111	-0.674082345
D03-H02	Dune	D03	1.222987976	1.719102785	0.938575375	0.924128753	0.62471226	2.060507409	-0.181508486	-0.333013614	0.383341637
D03-H02	Dune	D03	0.024196529	1.534461869	-1.069819936	1.072890245	0.817727683	0.693885581	0.110617607	-0.442942371	-0.196118804
D03-H02	Dune	D03	1.133825638	1.095857218	0.636492963	1.79883957	0.696781674	1.307145224	0.098910354	-0.226550945	-0.657865047
D03-H02	Dune	D03	1.239016157	0.698221961	0.274088581	1.367290517	0.760547762	0.600350755	1.066083891	-0.011728332	-0.164879383
